"employees","initial_salaries","salary_adjustments","new_salaries","raising_salaries"
"Employee 1",46590.1687042788,9253.85513692163,55844.0238412004,TRUE
"Employee 2",49240.5241611414,6455.96524816938,55696.4894093107,TRUE
"Employee 3",48983.5107000545,-70.4176793806255,48913.0930206738,FALSE
"Employee 4",45467.8217531182,-1611.00223776884,43856.8195153493,FALSE
"Employee 5",48363.2790250704,6168.47532568499,54531.7543507554,TRUE
"Employee 6",40047.7337441407,3208.06140662171,43255.7951507624,TRUE
"Employee 7",40973.2399694622,-4148.35824398324,36824.8817254789,FALSE
"Employee 8",45738.3687165566,9327.97120069154,55066.3399172481,TRUE
"Employee 9",44671.6658491641,9408.45731878653,54080.1231679507,TRUE
"Employee 10",44700.8751006797,2228.23299118318,46929.1080918629,TRUE
"Employee 11",47509.8530598916,-981.056994060054,46528.7960658316,FALSE
"Employee 12",44640.5382081866,314.965272555128,44955.5034807418,TRUE
"Employee 13",49946.0181756876,8779.64879735373,58725.6669730414,TRUE
"Employee 14",46730.6690127589,6653.56189245358,53384.2309052125,TRUE
"Employee 15",46885.3429635055,9485.86801532656,56371.2109788321,TRUE
"Employee 16",42370.8123969845,5596.53375647031,47967.3461534549,TRUE
"Employee 17",49859.6122371964,5146.97951264679,55006.5917498432,TRUE
"Employee 18",42678.3587597311,-4165.42815743014,38512.9306023009,FALSE
"Employee 19",42383.3971261047,3088.01773120649,45471.4148573112,TRUE
"Employee 20",42872.4912297912,9896.94296382368,52769.4341936149,TRUE
"Employee 21",48864.9780373089,1202.39255484194,50067.3705921508,TRUE
"Employee 22",44036.3554703072,-4658.10509980656,39378.2503705006,FALSE
"Employee 23",40364.4654410891,1992.90241929702,42357.3678603861,TRUE
"Employee 24",46720.4391327687,-434.709929395467,46285.7292033732,FALSE
"Employee 25",45283.0765908584,-1185.87309727445,44097.2034935839,FALSE
"Employee 26",45286.2365217879,-651.64333791472,44634.5931838732,FALSE
"Employee 27",43994.6095622145,962.497544242069,44957.1071064565,TRUE
"Employee 28",43735.261708498,6915.76713346876,50651.0288419668,TRUE
"Employee 29",49033.6721483618,-446.841124212369,48586.8310241494,FALSE
